School Name,Program Type,22-23 Grades Served,Ward,Address,Head of School's Name,Email,Phone Number
DC Scholars PCS,Interdisciplinary Curriculum,PK3 - 8,7,"5601 EAST CAPITOL STREET SE, WASHINGTON, DISTRICT OF COLUMBIA 20019",LeAngelo,lemperator@dcscholars.org,(202) 559-6138
DC Wildflower PCS – The Riverseed School,,PK3-PK4,8-Jul,"913 55TH STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20019",,Zani@theriverseedschool.org,(202) 350-1335
Digital Pioneers Academy PCS - Capitol Hill/Upper School,Computer Science; Diverse Out-of-School Experiences,11-Sep,6,"709 12th St SE, Washington, DC 20003",Mashea Ashton,mashea@digitalpioneersacademy.org,(202) 677-3522
District of Columbia International School,Language Immersion; International Baccalaureate Curriculum,12-Jun,4,"1400 MAIN DRIVE NW, WASHINGTON, DISTRICT OF COLUMBIA 20012",Christopher Nace,christopher.nace@dcinternationalschool.org,(202) 808-9033
E.L. Haynes PCS - Elementary and High School,Experiential Learning,PK 3 - 5,4,"4501 KANSAS AVENUE NW, WASHINGTON, DISTRICT OF COLUMBIA 20011",Brittany Wagner-Friel,bwagnerfriel@elhaynes.org,(202) 706-5828
E.L. Haynes PCS - Middle School,Experiential Learning,8-May,1,"3600 GEORGIA AVENUE NW, WASHINGTON, DISTRICT OF COLUMBIA 20010",Zenada Mahon,zmahon@elhaynes.org,(202) 706-5828
Eagle Academy PCS - Capitol Riverfront,Arts Integration,PK3 - 3,6,"1900 HALF STREET SW, WASHINGTON, DISTRICT OF COLUMBIA 20024",Royston Lyttle,rlyttle@eagleacademypcs.org,(202) 459-6825
Eagle Academy PCS - Congress Heights,"Science, Technology, Engineering, Mathematics (STEM) Focus",PK3 - 3,8,"3400 WHEELER ROAD SE, WASHINGTON, DISTRICT OF COLUMBIA 20032",Sharmel Robinson,sharmel.robinson@eagleacademypcs.org,(202) 544-2646
Early Childhood Academy PCS,"Science, Technology, Engineering, Mathematics (STEM) Focus",PK3 - 3,8,"885 BARNABY STREET SE, WASHINGTON, DISTRICT OF COLUMBIA 20032",Pamela Faulcon,pfaulcon@ecapcs.org,(202) 373-0035
Elsie Whitlow Stokes Community Freedom PCS - Brookland,Dual Language,PK3 - 5,5,"3700 OAKVIEW TERRACE NE, WASHINGTON, DISTRICT OF COLUMBIA 20017",Constanza Rosas,constanzar@ewstokes.org,(202) 265-7237
Friendship PCS - Armstrong ,Arts Integration,8-Apr,5,"111 O STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20001",Joseph Speight,jspeight@friendshipschools.org,(202) 518-3928
Friendship PCS - Blow Pierce ,College Prep School,PK3 - 3,7,"725 19TH STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20002",Gregory Spears,gspears@friendshipschools.org,(202) 572-1070
Friendship PCS - Chamberlain ,Champions for Student Achievement,PK3 - 3,6,"1345 POTOMAC AVENUE SE, WASHINGTON, DISTRICT OF COLUMBIA 20003",Diamond Harris,dharris1@friendshipschools.org,(202) 547-5800
Friendship PCS - Collegiate Academy and Global Citizens PCS,Early College High School,12-Sep,7,"4095 MINNESOTA AVENUE NE, WASHINGTON, DISTRICT OF COLUMBIA 20019",Peggy Jones,pjones@friendshipschools.org,(202) 396-5500
Friendship PCS - Ideal ,Reggio Emilia-Inspired Learning Center,PK3-3,4,"6130 NORTH CAPITOL STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20011",John Snowdy,Jsnowdy@friendshipschools.org,(202) 986-0827
Friendship PCS - Online Academy,Virtual School,K - 8,4,"1351 NICHOLSON STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20011",John Sloane,jsloane@k12.com,(202) 795-7106
Friendship PCS - Southeast Elementary and Middle,Every Child Ready Instructional Approach,PK3 - 3,8,"645 MILWAUKEE PLACE SE, WASHINGTON, DISTRICT OF COLUMBIA 20032",Tracie Dow,tdow1@friendshipschools.org,(202) 562-1980
Friendship PCS - Technology Preparatory High School,"Science, Technology, Engineering, Mathematics (STEM) Focus",12-Sep,8,"2705 MARTIN LUTHER KING JR AVENUE SE, WASHINGTON, DISTRICT OF COLUMBIA 20032",Kun Ye Booth,KBooth@friendshipschools.org,(202) 552-5700
Friendship PCS - Woodridge International,International Baccalaureate,8-Apr,5,"2959 CARLTON AVENUE NE, WASHINGTON, DISTRICT OF COLUMBIA 20018",Erica Stevens,estevens@friendshipschools.org,(202) 635-6500
Girls Global Academy PCS,"Single Gender, International Baccalaureate, Business and Engineering",12-Sep,2,"733 8TH STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20001",Shamira O'Neal,soneal@girlsglobalacademy.org,(202) 600-4822
Goodwill Excel Center PCS,Transportation Assistance; Child Care and Flexible Class Schedules,Adult Education,2,"1776 G STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20006",Chelsea Kirk,chelsea.kirk@goodwillexcelcenter.org,(202) 309-6615
Harmony DC PCS - School of Excellence,"Science, Technology, Engineering, and Mathematics (STEM) Focus",PK3 - 5,5,"62 T STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20002",Evren Culha,eculha@harmonydc.org,(202) 529-7500 x11
Hope Community PCS - Tolson,"Expeditionary Learning (Art, Technology, Science Inquiry, and Music)",PK3 - 8,5,"2917 8TH STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20017",Clifford Owens,cowens@hopetolson.org,(202) 832-7370
Howard University Middle School of Mathematics and Science PCS,Math and Science Focus,8-Jun,1,"405 HOWARD PLACE NW, WASHINGTON, DISTRICT OF COLUMBIA 20059",Corbet Houston,corbet.houston@hu-ms2.org,(202) 806-7725
I Dream PCS,"Multi-Age Cohorts, Dream Time, Customized Learning Plans, and Social-Emotional Learning",PK3-5,7,"2220 BRANCH AVENUE SE, WASHINGTON, DISTRICT OF COLUMBIA 20020",Janine Gomez,jgomez@idreampcs.org,(202) 922-7221
IDEA PCS,"Leadership, Construction, and Design Focus; College Dual-Enrollment",12-Sep,7,"1027 45TH STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20019",Gretchen Sewell,gsewell@ideapcs.org,(202) 399-4750
Ingenuity Prep PCS,Civic Leadership; Blended Learning; Early Childhood,PK3-8,8,"4600 LIVINGSTON ROAD SE, WASHINGTON, DISTRICT OF COLUMBIA 2003",Ben Johnson,bjohnson@ingenuityprep.org,(202) 562-0391
Inspired Teaching Demonstration PCS,"Inquiry-Based, Whole Child, and Social Justice Focus",PK3-8,5,"200 DOUGLAS STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20002",Hakim Johnson,hakim.johnson@inspiredteachingschool.org,(202) 248-6826
Kingsman Academy PCS,Project-Based; Personalized Learning,Alternative,6,"1375 E STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20002",Kennesha Kelly,kkelly@kingsmanacademy.org,(202) 657-1218
"KIPP DC - AIM Academy PCS, KIPP DC - Heights Academy PCS, and KIPP DC - Discover Academy PCS",High School Preparatory Curriculum; Leadership and Character Development,8-May,8,"2600 DOUGLASS ROAD SE, WASHINGTON, DISTRICT OF COLUMBIA 20020",Gaelan Gallagher,gaelan.gallagher@kippdc.org,(202) 265-5477
KIPP DC - College Preparatory PCS,Global Readiness Based Curriculum; Career and College Coaching; Advanced Placement Courses; Freshman Academies,12-Sep,5,"1405 BRENTWOOD PARKWAY NE, WASHINGTON, DISTRICT OF COLUMBIA 20002",Stephanie Young,stephanie.young@kippdc.org,(202) 265-5477
"KIPP DC - Connect Academy PCS, KIPP DC - Northeast Academy PCS, and KIPP DC - Spring Academy PCS",Play-Based Academic and Social Emotional Learning Curriculum,PK3-K,5,"1375 MOUNT OLIVET ROAD NE, WASHINGTON, DISTRICT OF COLUMBIA 20002",Amber Boothe,amber.boothe@kippdc.org,(202) 265-5477
"KIPP DC - Grow Academy PCS, KIPP DC - Lead Academy PCS, and KIPP DC - WILL Academy PCS",Play-Based Academic and Social Emotional Learning Curriculum,PK3-K,6,"421 P STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20001",Ashley Peel,ashley.peel@kippdc.org,(202) 265-5477
"KIPP DC - Honor Academy PCS, KIPP DC - Inspire Academy PCS, and KIPP DC - Pride Academy PCS",Blended Learning,8-May,8,"3301 WHEELER ROAD SE, WASHINGTON, DISTRICT OF COLUMBIA 20032",Cynthia David,cynthia.david@kippdc.org,(202) 265-5477
"KIPP DC - KEY Academy PCS, KIPP DC - LEAP Academy PCS, and KIPP DC - Promise Academy PCS",High School Preparatory Curriculum; Leadership and Character Development,8-May,7,"4801 BENNING ROAD SE, WASHINGTON, DISTRICT OF COLUMBIA 20019",Rashaand Saas,rashaand.sass@kippdc.org,(202) 265-5477
"KIPP DC - Quest Academy PCS, KIPP DC - Valor Academy PCS, and KIPP DC - Arts and Technology Academy PCS",Rigorous Academic Curriculum; Character and Whole-Child Approach,4-Jan,7,"5300 BLAINE STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20019",Stephanie Beltran,stephanie.beltran@kippdc.org,(202) 265-5477
KIPP DC - Legacy College Preparatory PCS,"Blended Learning, Dual College Enrollment, Advanced Placement",12-Sep,8,"3999 8TH STREET SE, WASHINGTON, DISTRICT OF COLUMBIA 20032",Shannon Woolery,shannon.woolery@kippdc.org,(202) 265-5477
Latin American Montessori Bilingual PCS,Montessori; Language Immersion,PK3-5,"4,5","5000 14TH STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20011",Alexandra Torres,alexandra@lambpcs.org,(202) 726-6200
LAYC Career Academy PCS,Medical Assistant; Computer Skills; Dual Enrollment; GED Preparation; English as a Second Language; Literacy and Numeracy Skill Development,Adult Education,1,"3224 16TH STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20010",Jacqueline Fernandez-Romero,jacqueline@laycca.org,(202) 319-2228
LEARN DC PCSB,"Blended Learning, Extended Day, Restorative Justice Program",PK3-3,8,"100 DUNCAN STREET SW, WASHINGTON, DISTRICT OF COLUMBIA 20032",Shona Person,sperson@learncharter.org,(202) 949-0930
Lee Montessori PCS - Brookland,Montessori,PK3-6,8,"3025 4TH STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20017",Emily Proffitt,emily@leemontessori.org,(202) 779-9740
Lee Montessori PCS - East End,Montessori,PK3-3,5,"2345 R STREET SE, WASHINGTON, DISTRICT OF COLUMBIA 20020",Ebony Sealy,ebony@leemontessori.org,(202) 996-6700
Mary McLeod Bethune Day Academy PCS,Arts Integration; Language Immersion; International Baccalaureate,PK3-8,"4,5","1404 JACKSON STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20017",Edwin Acevedo,e.acevedo@mmbethune.org,(202) 459-4710
Maya Angelou PCS and Elsie Whitlow Stokes Community Freedom PCS - East End,General Education Development (GED),Adult Education,7,"5600 EAST CAPITOL STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20019",Sean Yisrael,syisrael@seeforever.org,(202) 289-8898 x1707
Meridian PCS,Interdisciplinary Curriculum,PK3-8,1,"2120 13TH STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20009",DuRay Stevens,dstevens@meridian-dc.org,(202) 387-9830
Monument Academy PCS,Boarding school and Wraparound with Foster Care/At-Risk Focus,Alternative,7,"500 19TH STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20002",Ashley DeCruise,ashley.decruise@mapcsdc.org,(240) 604-7406
Mundo Verde Bilingual PCS - Calle Ocho,"Dual Language/Immersion, Education for Sustainability Focus",PK3-4,5,"4401 8TH STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20017",Elizabeth Pefaure,epefaure@mundoverdepcs.org,(202) 803-8967
Mundo Verde Bilingual PCS - J.F. Cook,"Dual Language/Immersion, Education for Sustainability Focus",PK3-5,5,"30 P STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20001",Natalie Ejechi,nejechi@mundoverdepcs.org,(202) 750-7060
Paul PCS,"Academics, Arts, Athletics, and Global Enrichment",12-Sep,4,"5800 8TH STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20011",Steffanie Hawkins,shawkins@paulcharter.org,(202) 291-7499
Perry Street Preparatory PCS and The Sojourner Truth School PCS,Interdisciplinary Curriculum; Extended Academic Time,PK3-8,5,"1800 PERRY STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20018",Rachel Crouch,rcrouch@pspdc.org,(202) 551-0825
Richard Wright PCS for Journalism and Media Arts,Journalism and Media Arts,12-Aug,6,"475 SCHOOL STREET SW, WASHINGTON, DISTRICT OF COLUMBIA 20024",Marco Clark,MARCO.CLARK@richardwrightpcs.org,(202) 388-1011 x127
Rocketship PCS - Legacy Prep,Personalized and Blended Learning,PK3-5,8,"4250 MASSACHUSETTS AVENUE SE, WASHINGTON, DISTRICT OF COLUMBIA 20019",Jeanice Stewart,jstewart@rsed.org,(202) 803-7004
Rocketship PCS - Rise Academy,Personalized and Blended Learning,PK3-5,7,"2335 RAYNOLDS PLACE SE, WASHINGTON, DISTRICT OF COLUMBIA 20020",Shawn Ellison,sellison@rsed.org,(973) 615-7878
Roots PCS,African Centered Curriculum,PK3-5,4,"15 KENNEDY STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20011",Bernida Thompson,bthompson@rootspcs.org,(202) 882-8073
Sela PCS,Dual Language/Immersion,PK3-5,4,"6015 CHILLUM PLACE NE, WASHINGTON, DISTRICT OF COLUMBIA 20011",Joshua Bork,jbork@selapcs.org,(202) 670-7352
Shining Stars Montessori Academy PCS,Montessori,PK3-6,5,"1240 RANDOLPH STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20017",Darryl Buxton,dbuxton@shiningstarspcs.org,(202) 723-1467
Social Justice PCS and Rocketship PCS - Rise Academy,"Expeditionary Learning, Liberatory Design Thinking, and Crew",8-May,5,"5450 3RD STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20011",Brandon Johnson,brandon@thesocialjusticeschool.org,(240) 485-8726
St. Coletta Special Education PCS,Special Education,Alternative,7,"1901 INDEPENDENCE AVENUE SE, WASHINGTON, DISTRICT OF COLUMBIA 20003",Amy Warden,amy.warden@stcoletta.org,(202) 350-8680 x1051
Statesmen College Preparatory Academy for Boys PCS,"Boy-Friendly Academic Enviornment, Improving Academic Skills, Social Competencies, and Personal Development",8-Apr,7,"4600 LIVINGSTON ROAD SE, WASHINGTON, DISTRICT OF COLUMBIA 20032",Rictor Craig,rictorcraig@statesmenboys.org,(202) 594-8037
The Children's Guild DC PCS,Montessori,Alternative,5,"2146 24TH PLACE NE, WASHINGTON, DISTRICT OF COLUMBIA 20018",Bryan Daniels,bdaniels@childrensguild.org,(202) 774-5442
The Family Place PCS,"ESL, Child Development Associate, Workforce Development, Spanish, Literacy, 2-Gen Approach",Adult Education,1,"3309 16TH STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20010",Haley Wiggins,hwiggins@thefamilyplacedc.org,(202) 265-0149
The Next Step/El Proximo Paso PCS,GED Preparation; English as a Second Language; Dual College Enrollment; Day and Evening Options; Transportation and Childcare Assistance,Adult Education,1,"3047 15TH STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20009",Maria Paz Riquelme,mariapaz@nextsteppcs.org,(302) 298-4597
The SEED PCS of Washington DC,Boarding School,12-Sep,7,"4300 C STREET SE, WASHINGTON, DISTRICT OF COLUMBIA 20019",Demetrius Blue,dblue@seedschooldc.org,(202) 248-7773 x5126
Thurgood Marshall Academy PCS,Public Policy and Law Focus,12-Sep,8,"2427 MARTIN LUTHER KING JR AVENUE SE, WASHINGTON, DISTRICT OF COLUMBIA 20020",Malika Mays,mmays@tmapchs.org,(202) 563-6862 x174
Two Rivers PCS - 4th Street,Expeditionary Learning,PK3-5,6,"1227 4TH STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20002 ",Guye Turner,gturner@tworiverspcs.org,(202) 546-4477
Two Rivers PCS - Young Elementary School,Expeditionary Learning,PK3-5,5,"820 26TH STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20002",Megan DeRitter,mderitter@tworiverspcs.org,(202) 388-1360
Two Rivers PCS - Young Middle School,Arts Integration,8-Jun,5,"830 26TH STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20002",Ashley Stone,astone@tworiverspcs.org,(202) 388-3177
Washington Global PCS,International Curriculum; Individualized Learning,8-Jun,6,"525 SCHOOL STREET SW, WASHINGTON, DISTRICT OF COLUMBIA 20024",Howard Mebane,hmebane@washingtonglobal.org,(202) 796-2415
Washington Latin PCS - The Anna Julia Cooper Middle School,,6-May,5,"711 EDGEWOOD STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20011",Khashiffa Roberts,kroberts@latinpcs.org,(202) 697-4430
Washington Latin PCS,Classical Education,8-May,4,"5200 2ND STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20011",James Kelly,jkelly@latinpcs.org,(202) 223-1111 x101
Washington Leadership Academy PCS,"Tech, Coding, Computer Science; Leadership Development",12-Sep,5,"3015 4TH STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20017",Eric Collazo,ecollazo@wlapcs.org,"823-712-029, (998) 523-8236"
Washington Yu Ying PCS,Mandarin Chinese Language Immersion; International Baccalaureate,PK3-5,5,"220 TAYLOR STREET NE, WASHINGTON, DISTRICT OF COLUMBIA 20017",Amy Quinn,aquinn@washingtonyuying.org,(202) 635-1950
YouthBuild PCS,English as Second Language; Construction Education; Dual enrollment,Adult Education,1,"3220 16TH STREET NW, WASHINGTON, DISTRICT OF COLUMBIA 20010",Claire Libert,claire.libert@youthbuildpcs.org,(202) 319-0141
